"Database","Source_ID","SS_ID","Source_ID_original","SS_ID_original","Longitude","Latitude","Taxon_group","Pressure","Pressure_level","Pressure_unit","n_species","PDF","MSA_loss"
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.60947422189663,0.328280103888998,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",5,0.6,0.6
"PREDICTS",24,"24_2","DI1_2013__deLima","DI1_2013__deLima 2",6.60998494311028,0.327818730242933,"Plants","Land_use","Intermediate secondary vegetation","Land_use_category",6,0.333333333333333,0.654938271604938
"PREDICTS",25,"25_1","DL1_2009__Rasmussen","DL1_2009__Rasmussen 1",-73.3477576666667,-3.87504066666667,"Invertebrates","Land_use","Intermediate secondary vegetation","Land_use_category",26,0.0384615384615384,0.189963835402799
"PREDICTS",26,"26_1","DL1_2009__Sugiura","DL1_2009__Sugiura 1",142.198638888889,27.06725,"Invertebrates","Land_use","Mature secondary vegetation","Land_use_category",9,0.444444444444444,0.512962962962963
"PREDICTS",26,"26_1","DL1_2009__Sugiura","DL1_2009__Sugiura 1",142.168777777778,27.1164166666667,"Invertebrates","Land_use","Secondary vegetation","Land_use_category",9,0.444444444444444,0.702222222222222
"PREDICTS",27,"27_1","DL1_2010__Bocon","DL1_2010__Bocon 1",-54.4297222222222,-25.6013888888889,"Vertebrates","Land_use","Mature secondary vegetation","Land_use_category",103,0.155339805825243,0.311749872940506
"PREDICTS",27,"27_1","DL1_2010__Bocon","DL1_2010__Bocon 1",-54.4297222222222,-25.6013888888889,"Vertebrates","Land_use","Young secondary vegetation","Land_use_category",103,0.174757281553398,0.304821371520754
"PREDICTS",28,"28_1","DL1_2010__Jacobs","DL1_2010__Jacobs 1",32.7387666666667,-26.6721516666667,"Invertebrates","Land_use","Pasture","Land_use_category",27,0.148148148148148,0.377113587126439
"PREDICTS",29,"29_1","DL1_2010__Miranda","DL1_2010__Miranda 1",-64.8841666666667,-23.9608333333333,"Vertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",13,0.384615384615385,0.490384615384615
"PREDICTS",30,"30_1","DL1_2012__Politi","DL1_2012__Politi 1",-64.46993,-24.0923,"Vertebrates","Land_use","Primary vegetation - Light/intense use","Land_use_category",6,0,0.133333333333333
"PREDICTS",31,"31_1","DL1_2012__Ribeiro","DL1_2012__Ribeiro 1",-58.64768333332,-2.70787222222,"Invertebrates","Land_use","Mature secondary vegetation","Land_use_category",31,0.0967741935483871,0.235010996338828
"PREDICTS",32,"32_1","DL1_2012__Siebert","DL1_2012__Siebert 1",27.2522916666666,-26.7345138888889,"Plants","Land_use","Cropland","Land_use_category",161,0.987577639751553,0.991895050758751
"PREDICTS",32,"32_1","DL1_2012__Siebert","DL1_2012__Siebert 1",27.2524074074074,-26.7346296296297,"Plants","Land_use","Cropland","Land_use_category",223,0.991031390134529,0.991031390134529
"PREDICTS",32,"32_1","DL1_2012__Siebert","DL1_2012__Siebert 1",27.2525,-26.7347222222223,"Plants","Land_use","Cropland","Land_use_category",12,0.916666666666667,0.998015873015873
"PREDICTS",32,"32_1","DL1_2012__Siebert","DL1_2012__Siebert 1",27.3695238095238,-26.6440476190476,"Plants","Land_use","Cropland","Land_use_category",334,0.985029940119761,0.987734816666233
"PREDICTS",32,"32_1","DL1_2012__Siebert","DL1_2012__Siebert 1",27.3695833333334,-26.6441666666666,"Plants","Land_use","Cropland","Land_use_category",62,0.951612903225806,0.951612903225806
"PREDICTS",32,"32_1","DL1_2012__Siebert","DL1_2012__Siebert 1",27.8248148148148,-31.7916358024692,"Plants","Land_use","Cropland","Land_use_category",3,0.666666666666667,0.94949494949495
